ID,Company,Initiative,Type,CIQ,CIQ_name,Country,Industry,Ultimate_parent,Count_member,Count_group,Country_listed,Country_match
2346,Encavis AG,UNPRI,General,IQ586969687,Encavis AG,DE,Utilities,Encavis AG,1,1,DE,TRUE
2347,Encore Capital Management,UNPRI,General,IQ48758937,"Encore Capital Management, L.L.C.",US,Financials,"Encore Capital Management, L.L.C.",1,1,US,TRUE
445,Encourage Capital,Ceres Investor Network on Climate Risk and Sustainability,General,IQ104485404,"Encourage Capital, LLC",US,Financials,"Encourage Capital, LLC",2,2,,
2348,Encourage Capital LLC,UNPRI,General,IQ104485404,"Encourage Capital, LLC",US,Financials,"Encourage Capital, LLC",2,2,US,TRUE
8357,Endangered Wildlife Oü,TNFD Forum,Climate Change,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,,
2349,"Endeavour United Co., Ltd.",UNPRI,General,IQ330057307,"Endeavour United Co., Ltd.",JP,Financials,"Phoenix Capital Co., Ltd.",1,1,JP,TRUE
2350,Endeavour Vision Ltd.,UNPRI,General,IQ35017687,Endeavour Vision SA,CH,Financials,Endeavour Vision SA,1,1,CH,TRUE
2351,Endeit Capital,UNPRI,General,IQ25553267,Endeit Capital B.V.,NL,Financials,Endeit Capital B.V.,1,1,NL,TRUE
2352,Endless LLP,UNPRI,General,IQ27246524,Endless LLP,GB,Financials,Endless LLP,1,1,GB,TRUE
2353,Endowus,UNPRI,General,IQ707033075,Endow.us Pte. Ltd.,SG,0,Endow.us Pte. Ltd.,1,1,SG,TRUE
10223,Enea Consulting,Global Impact Investment Network,,IQ247470743,Enea Consulting SAS,FR,Industrials,Enea Consulting SAS,1,1,,
8358,Enel,TNFD Forum,Climate Change,IQ93486,Enel SpA,IT,Utilities,Enel SpA,1,2,,
7466,Enel Insurance N.V.,Principles for Sustainable Insurance,General,IQ290458704,Enel Insurance B.V.,NL,Financials,Enel SpA,1,2,NL,TRUE
2354,ENERFIP,UNPRI,General,IQ325802677,Enerfip SAS,FR,Communication Services,Enerfip SAS,1,1,FR,TRUE
